experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
text,dinov2-small,clap-unfused,0,,heldout_like_c,0.0357142857142857,0.1785714285714285,0.1785714285714285,0.2142857142857142,3,15,0.0142857142857142,0.3307119905948639,0.6925413381829619,0.0187075998334189,0.0089887640449438,0.692541338182962,0.6710241580734868,0.7154841813124554
c-direct,dinov2-small,mert-330m,300,0.5,aggregate,0.2825,0.3975,0.475,0.5425,8,15,0.0495,0.5390321612358093,0.2808239917488153,0.1947659048302007,0.0856689053092689,0.2808239917488153,0.2812169615333674,0.280432118695837
c-direct,dinov2-small,mert-330m,300,0.5,heldout,0.01,0.03,0.06,0.12,3,15,0.064,0.4974616765975952,0.3984637977068866,0.0830141068572275,0.05655739825619,0.3984637977068867,0.4037668146074583,0.3932982731662091
d,dinov2-small,mert-330m,0,0.7,aggregate,0.055,0.1475,0.225,0.32,5,15,0.0265,0.3747612535953522,0.1854782557054097,0.0884298200582272,0.0341211711952067,0.1854782557054097,0.1846665645340255,0.1862971138617713
d,dinov2-small,mert-330m,0,0.7,heldout_like_c,0.0,0.0833333333333333,0.2083333333333333,0.2916666666666667,1,15,0.0,0.5100165605545044,0.7514163550784648,0.0294335861005917,0.0242045145499048,0.7514163550784647,0.7182153407123145,0.7878357177697399
unsup,dinov2-small,mert-330m,0,1.0,aggregate,0.0025,0.0275,0.0525,0.09,5,15,0.11,0.6895537972450256,0.3740354346717199,0.3003589249010682,0.1481412260259106,0.3740354346717199,0.3657108086349742,0.3827478731199464
unsup,dinov2-small,mert-330m,0,1.0,heldout_like_c,0.0,0.0416666666666666,0.0833333333333333,0.0833333333333333,3,15,0.0499999999999999,0.694972813129425,0.7822269778470925,0.3094592236298029,0.2068965517241379,0.7822269778470926,0.7044616482192135,0.8792917554300062
text,dinov2-small,mert-330m,0,,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.016,0.2656248807907104,0.1813086090113924,0.0881970131207914,0.0254584775405403,0.1813086090113924,0.1700662180587251,0.1941425918131619
text,dinov2-small,mert-330m,0,,heldout_like_c,0.0,0.0833333333333333,0.2083333333333333,0.25,1,15,0.025,0.3009073734283447,0.7125892975957768,-0.0018856886511255,-0.0020746887966804,0.7125892975957768,0.6605624094867117,0.7735122878754609
c-direct,dinov2-small,mert-95m,300,0.5,aggregate,0.505,0.6175,0.6425,0.685,7,15,0.036,0.4894792437553406,0.2116133129917565,0.1187970898476135,0.0443218088275356,0.2116133129917565,0.2100166924325343,0.2132343956595196
c-direct,dinov2-small,mert-95m,300,0.5,heldout,0.02,0.06,0.07,0.13,2,15,0.012,0.5162181258201599,0.3838563533978945,0.0631357377372817,0.0234048481471161,0.3838563533978945,0.3873676965010606,0.3804080964627698
d,dinov2-small,mert-95m,0,0.7,aggregate,0.05,0.1325,0.2175,0.3175,4,15,0.0185,0.4159777760505676,0.1750280939857573,0.0787515108521479,0.0286033030417328,0.1750280939857573,0.1732022375725632,0.1768928560126544
d,dinov2-small,mert-95m,0,0.7,heldout_like_c,0.0,0.1153846153846153,0.2307692307692307,0.2692307692307692,1,15,0.0153846153846153,0.2773877382278442,0.7170831801242871,0.0054923550686669,0.0039008080245193,0.7170831801242873,0.6948369271409798,0.7408010436749491
unsup,dinov2-small,mert-95m,0,1.0,aggregate,0.0025,0.02,0.0275,0.06,0,15,0.0885,0.6693289875984192,0.2903244043704294,0.2057555097967096,0.0860181760815189,0.2903244043704294,0.2720965198259663,0.3111698298694721
unsup,dinov2-small,mert-95m,0,1.0,heldout_like_c,0.0,0.0,0.0,0.1153846153846153,2,15,0.0538461538461538,0.5750163793563843,0.6800148686580916,0.1615932694465001,0.0803256714491386,0.6800148686580916,0.5977953850245472,0.788457624057164
text,dinov2-small,mert-95m,0,,aggregate,0.0625,0.1675,0.2325,0.32,5,15,0.023,0.2829581797122955,0.1845252455950398,0.0936140832654016,0.031378962753049,0.1845252455950398,0.1771447515007271,0.1925474730425138
text,dinov2-small,mert-95m,0,,heldout_like_c,0.0,0.1923076923076923,0.3076923076923077,0.3076923076923077,1,15,0.0,0.1282504647970199,0.7032439797026567,-0.0050252273222537,-0.0046367851622874,0.7032439797026566,0.6741547584145644,0.7349567570372151
c-direct,vit-mae-base,clap-fused,300,0.5,aggregate,0.17,0.3,0.3975,0.49,5,15,0.0785,0.5147960782051086,0.2980141968370428,0.214759879461679,0.08855214520345,0.2980141968370428,0.3039914670465626,0.2922674515473835
c-direct,vit-mae-base,clap-fused,300,0.5,heldout,0.0,0.04,0.13,0.22,4,15,0.052,0.4557439386844635,0.4592621041854823,0.193417387439592,0.102584738942214,0.4592621041854823,0.4634611872492575,0.4551384275639294
d,vit-mae-base,clap-fused,0,0.7,aggregate,0.065,0.1525,0.24,0.345,4,15,0.023,0.3478267192840576,0.1521119184327649,0.0515790785115962,0.0204383948551742,0.1521119184327649,0.1546590339954054,0.1496473415966014
d,vit-mae-base,clap-fused,0,0.7,heldout_like_c,0.0588235294117647,0.1470588235294117,0.2647058823529412,0.3529411764705882,6,15,0.0058823529411764,0.2951453924179077,0.6577078167765983,0.0514140112976679,0.0368398079441292,0.6577078167765983,0.6432049680357266,0.6728797665595868
unsup,vit-mae-base,clap-fused,0,1.0,aggregate,0.0025,0.0075,0.0275,0.0775,1,15,0.107,0.6642146110534668,0.3763735540952009,0.3053294664910516,0.1480549676848103,0.3763735540952009,0.3744625835128626,0.3783041289870621
unsup,vit-mae-base,clap-fused,0,1.0,heldout_like_c,0.0,0.0,0.0,0.0294117647058823,2,15,0.0470588235294117,0.5275002717971802,0.666502754373497,0.1686234423770163,0.1341256366723259,0.6665027543734969,0.629562302502966,0.7080484936897835
text,vit-mae-base,clap-fused,0,,aggregate,0.0625,0.1675,0.2325,0.32,2,15,0.023,0.0701390355825424,0.123407103882864,0.0211538223714308,0.0027898026736715,0.123407103882864,0.1222235194914057,0.124613835544032
text,vit-mae-base,clap-fused,0,,heldout_like_c,0.0588235294117647,0.1764705882352941,0.2352941176470588,0.3235294117647059,6,15,0.0294117647058823,-0.0326540172100067,0.6610986496696627,0.1193128491917491,0.0815906210392902,0.6610986496696626,0.6326311836080558,0.6922488210988139
c-direct,vit-mae-base,clap-larger,300,0.5,aggregate,0.18,0.315,0.41,0.5175,6,15,0.072,0.4483440220355987,0.2928014985993318,0.2088872100766142,0.0916224364331689,0.2928014985993318,0.2961469060003573,0.2895308293480219
c-direct,vit-mae-base,clap-larger,300,0.5,heldout,0.02,0.08,0.14,0.25,5,15,0.038,0.3726535737514496,0.4174577049901358,0.1309494101211104,0.0643976423594577,0.4174577049901358,0.4206620952909824,0.4143017644608526
d,vit-mae-base,clap-larger,0,0.7,aggregate,0.055,0.1475,0.235,0.3425,5,15,0.022,0.3167073130607605,0.1629463125911319,0.0636744104375154,0.0241273403815486,0.1629463125911319,0.1653967314165971,0.1605674416282492
d,vit-mae-base,clap-larger,0,0.7,heldout_like_c,0.1538461538461538,0.2692307692307692,0.3461538461538461,0.3461538461538461,3,15,0.0384615384615384,0.1037271916866302,0.7055849965479792,0.0465890326043775,0.030140256639809,0.7055849965479792,0.666348403069961,0.7497314330371219
unsup,vit-mae-base,clap-larger,0,1.0,aggregate,0.0075,0.0175,0.0375,0.07,4,15,0.1025,0.6855726838111877,0.3406668731861476,0.2623649942290411,0.1100833813983628,0.3406668731861476,0.3393195971790704,0.3420248906210018
unsup,vit-mae-base,clap-larger,0,1.0,heldout_like_c,0.0384615384615384,0.0384615384615384,0.0384615384615384,0.0384615384615384,0,15,0.023076923076923,0.4527644515037536,0.729806795992631,0.1472375558575,0.1379310344827586,0.7298067959926311,0.6859978545449987,0.7795928675701045
text,vit-mae-base,clap-larger,0,,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.0165,0.0674779266119003,0.1301331965977404,0.0265789477001956,0.0049498943508211,0.1301331965977404,0.12734377292657,0.1330475598549437
text,vit-mae-base,clap-larger,0,,heldout_like_c,0.0769230769230769,0.1923076923076923,0.3076923076923077,0.3846153846153846,4,15,0.0,0.1038040071725845,0.6972379396204487,-0.0116005687004077,-0.0096468279921517,0.6972379396204487,0.6653156858185835,0.7323778784701239
c-direct,vit-mae-base,clap-unfused,300,0.5,aggregate,0.1325,0.2675,0.325,0.41,5,15,0.0815,0.5220334529876709,0.31335247540718,0.2319021337083779,0.1034384652901967,0.31335247540718,0.3184829331205194,0.308384690791394
c-direct,vit-mae-base,clap-unfused,300,0.5,heldout,0.02,0.07,0.1,0.17,2,15,0.052,0.4370004534721374,0.4746262494001049,0.2093008232529212,0.1312116547346503,0.4746262494001049,0.4814995602189842,0.4679464071558109
d,vit-mae-base,clap-unfused,0,0.7,aggregate,0.0575,0.1425,0.23,0.33,6,15,0.0204999999999999,0.3287363648414612,0.1707689367354146,0.0723508209967365,0.0256590725097626,0.1707689367354146,0.1738373650002305,0.1678069521527705
d,vit-mae-base,clap-unfused,0,0.7,heldout_like_c,0.1071428571428571,0.1785714285714285,0.25,0.3571428571428571,3,15,0.0142857142857142,0.3347939848899841,0.6575790367421622,0.0015027294074095,-0.0024479804161566,0.6575790367421622,0.6328306194240091,0.6843419322266961
unsup,vit-mae-base,clap-unfused,0,1.0,aggregate,0.0,0.0075,0.0275,0.065,0,15,0.0914999999999999,0.686484158039093,0.3597512314841243,0.2843589843641715,0.1597160512167488,0.3597512314841243,0.353404840699997,0.3663297253966707
unsup,vit-mae-base,clap-unfused,0,1.0,heldout_like_c,0.0,0.0,0.0,0.0357142857142857,0,15,0.0285714285714285,0.5182226896286011,0.7048403967238996,0.1699633233336042,0.1044422507403751,0.7048403967238996,0.6707668066826955,0.7425609850617725
text,vit-mae-base,clap-unfused,0,,aggregate,0.0625,0.1675,0.2325,0.32,3,15,0.019,0.0816995650529861,0.1340081384104872,0.0296009511084646,0.006196604175326,0.1340081384104872,0.131397371487537,0.1367247564652226
