experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
procrustes,clip-base,clap-fused,300,nan,aggregate,0.4225,0.55,0.605,0.6775,3,15,0.133,0.5347340703010559,0.33940957294458773,0.26666484566666215,0.12646559385346598,0.3394095729445878,0.3247472720420313,0.35545848131133123,0.3416968972985889,0.23129819059961193,0.21744189226661895,0.38759736589986515,0.12425500503196993
procrustes,clip-base,clap-fused,300,nan,heldout,0.01,0.03,0.05,0.11,2,15,0.168,0.3232662081718445,0.256890644278123,0.0721286034873425,0.04207153149040174,0.256890644278123,0.2080135025518643,0.3357920365393906,0.2958361516570959,0.21967249552049956,0.20745899699861403,0.603754092596457,0.0883771546584819
d,clip-base,clap-fused,0,0.7,aggregate,0.07,0.1725,0.2475,0.3525,9,15,0.0325,0.41919800639152527,0.2210588752791033,0.13359493195587818,0.05841848120745965,0.2210588752791033,0.22887372617948507,0.21376007712067194,0.5276128832013615,0.4895339436955328,0.21744189226661895,0.38759736589986515,0.31017099093474254
d,clip-base,clap-fused,0,0.7,heldout_like_c,0.21739130434782608,0.2608695652173913,0.30434782608695654,0.34782608695652173,5,15,0.008695652173913044,0.1774476021528244,0.7451159714939897,-0.056711155778824414,-0.047705814146099056,0.7451159714939898,0.7077484155871024,0.7866493212605656,0.420284320923263,0.4026676449097712,0.1843226838319145,0.5509992236268333,0.23596163709134851
unsup,clip-base,clap-fused,0,1.0,aggregate,0.01,0.0425,0.07,0.0975,3,15,0.09899999999999999,0.6557573676109314,0.3718542898461808,0.30200745109522087,0.17299185622226892,0.3718542898461808,0.3798041860377277,0.36423037784076046,0.27426218388117574,0.24398730461792645,0.21744189226661895,0.38759736589986515,0.05682029161455679
unsup,clip-base,clap-fused,0,1.0,heldout_like_c,0.0,0.0,0.0,0.0,2,15,0.043478260869565216,0.5473647117614746,0.5884276801113618,-0.09385630872219218,-0.06069996354356544,0.5884276801113619,0.4968766471498145,0.7213360383587136,0.24326061537621296,0.22527706799363834,0.1843226838319145,0.5509992236268333,0.058937931544298466
text,clip-base,clap-fused,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,4,15,0.034,0.3169291913509369,0.2904306744098206,0.21174090977296633,0.11361490682887325,0.2904306744098206,0.2927666018869902,0.28813172768771506,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272
text,clip-base,clap-fused,0,nan,heldout_like_c,0.0,0.08695652173913043,0.13043478260869565,0.21739130434782608,1,15,0.026086956521739136,0.4564850628376007,0.7084914517167762,0.07198081592366404,0.044503419414106356,0.7084914517167761,0.6287378642981414,0.8114174139156012,0.5509992236268333,0.29813103974991845,0.1843226838319145,0.5509992236268333,0.36667653979491877
c-direct,clip-base,clap-larger,300,0.5,aggregate,0.6725,0.7825,0.81,0.855,11,15,0.0765,0.3501739799976349,0.28667185623241465,0.2065604681275666,0.09090371492803521,0.2866718562324146,0.2952393934552999,0.27858753836138334,0.3584064249945218,0.3556687333355103,0.21744189226661895,0.38759736589986515,0.14096453272790285
c-direct,clip-base,clap-larger,300,0.5,heldout,0.08,0.25,0.31,0.45,3,15,0.044000000000000004,0.29977864027023315,0.43486607009491973,0.14453662213164753,0.08922758417814435,0.43486607009491973,0.4308525227754186,0.4389550958173417,0.276000891131998,0.2961709279977341,0.20745899699861403,0.603754092596457,0.06854189413338396
c-transitive,clip-base,clap-larger,300,0.7,aggregate,0.0475,0.1225,0.195,0.28,6,15,0.018000000000000002,0.4109218120574951,0.3733946888295822,0.3023553637076937,0.17516234951273443,0.37339468882958216,0.36429771102117375,0.38295762854352033,0.47663583025107514,0.4195883683882338,0.21744189226661895,0.38759736589986515,0.2591939379844562
c-transitive,clip-base,clap-larger,300,0.7,heldout_like_c,0.0,0.0,0.05,0.2,2,15,0.0,0.44579169154167175,0.58611059253029,0.01812663917377112,0.00251994960100798,0.5861105925302899,0.45908865673949906,0.8103092169452442,0.4111765640582263,0.37724267670176015,0.21078756176840815,0.6177341696020362,0.20038900228981812
