K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
100,0.3,heldout,0.013333333333333334,0.03333333333333333,0.06333333333333334,0.12333333333333334,4,15,0.046,0.46255964040756226,0.2511608317448402,0.12808065407289287,0.05772684415533089,0.2511608317448402,0.25912080448067093,0.24367533093930346,0.26205659801669595,0.235183509116549,0.20854878625112686,0.6061970043800218,0.0535078117655691
100,0.5,aggregate,0.14,0.205,0.2575,0.29,5,15,0.0575,0.5344080328941345,0.31214235365048015,0.22908610827888398,0.10372403750301475,0.31214235365048015,0.3180234979741146,0.3064747774826464,0.28066920579014487,0.2502486221992605,0.21744189226661895,0.38759736589986515,0.06322731352352592
100,0.5,heldout,0.006666666666666667,0.043333333333333335,0.07333333333333333,0.11333333333333333,3,15,0.05133333333333333,0.5446151494979858,0.29318529283050326,0.17708388859702237,0.07605620888063636,0.29318529283050326,0.30195260508121285,0.2849127397491541,0.2529681459521843,0.23312960831783053,0.20854878625112686,0.6061970043800218,0.044419359701057454
100,0.7,aggregate,0.0675,0.14,0.1875,0.2475,5,15,0.08,0.5970984101295471,0.3244588704443509,0.24297924571954427,0.11904604640930325,0.3244588704443509,0.33065350171389196,0.31849207749604797,0.27320857927853254,0.2468652090730874,0.21744189226661895,0.38759736589986515,0.05576668701191359
100,0.7,heldout,0.006666666666666667,0.03333333333333333,0.07,0.10333333333333333,3,15,0.07200000000000001,0.5860168933868408,0.3128385285410827,0.2001300869341237,0.09558133200765749,0.3128385285410827,0.3220183013216221,0.30416762483250737,0.24239098758394376,0.23080125943789112,0.20854878625112686,0.6061970043800218,0.0338422013328169
100,0.9,aggregate,0.05,0.08,0.1125,0.155,5,15,0.0975,0.6514613032341003,0.3836492980552072,0.30933693525610306,0.1524445560127777,0.3836492980552072,0.38902926182893266,0.3784161057479066,0.26896100612377916,0.24228883869674014,0.21744189226661895,0.38759736589986515,0.05151911385716021
100,0.9,heldout,0.01,0.03666666666666667,0.06333333333333334,0.10333333333333333,3,15,0.07666666666666666,0.6392070055007935,0.35041971918447323,0.2443149019888675,0.13657410394010183,0.35041971918447323,0.35783996278785707,0.34330095936810007,0.24665230921916317,0.22766041067627962,0.20854878625112686,0.6061970043800218,0.03810352296803632
160,0.0,aggregate,0.305,0.385,0.4175,0.4775,5,15,0.0345,0.314247727394104,0.24660468236177427,0.15588560238645538,0.06586484813389172,0.24660468236177427,0.2515044909240505,0.2418921415168886,0.30976835820596804,0.26185071919988606,0.21744189226661895,0.38759736589986515,0.0923264659393491
160,0.0,heldout,0.0125,0.04583333333333333,0.075,0.14583333333333334,6,15,0.02333333333333333,0.3544608950614929,0.2828998516305482,0.12870871923072885,0.06066461244659805,0.28289985163054815,0.2860426193688239,0.2798253929389747,0.2487679906012831,0.23341654482291072,0.20283337563841378,0.5956067974828565,0.045934614962869325
160,0.3,aggregate,0.275,0.3575,0.405,0.445,5,15,0.045,0.4550006091594696,0.26864537902210806,0.18050066180727767,0.07513547913132707,0.26864537902210806,0.2740922506784246,0.26341077397514895,0.31445315178719396,0.2570232095926984,0.21744189226661895,0.38759736589986515,0.09701125952057502
